invoice_no,invoice_date,customer_id,country
542527,2011-01-28 12:48:00,17188,United Kingdom
549353,2011-04-08 11:21:00,13962,United Kingdom
C564996,2011-08-31 16:10:00,17677,United Kingdom
576851,2011-11-16 15:41:00,15967,United Kingdom
541846,2011-01-23 12:43:00,13050,United Kingdom
C558764,2011-07-03 13:08:00,15023,United Kingdom
C574487,2011-11-04 12:57:00,14112,United Kingdom
550671,2011-04-20 10:10:00,12457,Switzerland
545058,2011-02-27 13:03:00,13767,United Kingdom
546150,2011-03-09 17:03:00,ANONYMOUS,United Kingdom
539759,2010-12-21 17:03:00,ANONYMOUS,United Kingdom
C545457,2011-03-02 17:18:00,17428,United Kingdom
574909,2011-11-07 15:40:00,13673,United Kingdom
567645,2011-09-21 14:27:00,ANONYMOUS,United Kingdom
576562,2011-11-15 13:24:00,14522,United Kingdom
568801,2011-09-29 10:46:00,14475,United Kingdom
558523,2011-06-30 10:44:00,17949,United Kingdom
557900,2011-06-23 14:36:00,13098,United Kingdom
543826,2011-02-14 09:41:00,ANONYMOUS,United Kingdom
560887,2011-07-21 16:28:00,16041,United Kingdom
556439,2011-06-10 14:46:00,18061,United Kingdom
561397,2011-07-27 10:41:00,16532,United Kingdom
577115,2011-11-17 18:02:00,ANONYMOUS,United Kingdom
580651,2011-12-05 13:32:00,16851,United Kingdom
579278,2011-11-29 10:18:00,14209,United Kingdom
563503,2011-08-17 09:05:00,16488,United Kingdom
576574,2011-11-15 13:53:00,13078,United Kingdom
545462,2011-03-03 08:24:00,17567,United Kingdom
578839,2011-11-25 15:52:00,ANONYMOUS,United Kingdom
537090,2010-12-05 12:02:00,15332,Lithuania
557757,2011-06-22 13:28:00,14606,United Kingdom
C581100,2011-12-07 11:44:00,14534,United Kingdom
571323,2011-10-17 11:07:00,13534,United Kingdom
573358,2011-10-30 12:46:00,17213,United Kingdom
546164,2011-03-10 10:04:00,15939,United Kingdom
576594,2011-11-15 14:55:00,ANONYMOUS,United Kingdom
539611,2010-12-20 14:33:00,ANONYMOUS,United Kingdom
581169,2011-12-07 14:54:00,16779,United Kingdom
574073,2011-11-02 15:15:00,ANONYMOUS,United Kingdom
539084,2010-12-16 09:31:00,13890,United Kingdom
C568096,2011-09-23 14:50:00,17867,United Kingdom
C547904,2011-03-28 12:02:00,ANONYMOUS,United Kingdom
570521,2011-10-11 10:43:00,12371,Switzerland
C564498,2011-08-25 14:22:00,ANONYMOUS,United Kingdom
C556920,2011-06-15 13:49:00,13047,United Kingdom
548986,2011-04-05 12:46:00,ANONYMOUS,United Kingdom
558633,2011-06-30 19:13:00,16745,United Kingdom
558638,2011-07-01 08:16:00,16317,United Kingdom
570693,2011-10-11 16:50:00,16161,United Kingdom
542585,2011-01-28 15:29:00,17329,United Kingdom
C575670,2011-11-10 15:02:00,13081,United Kingdom
580910,2011-12-06 13:29:00,13225,United Kingdom
554366,2011-05-24 10:24:00,17450,United Kingdom
539011,2010-12-15 13:25:00,14201,United Kingdom
563234,2011-08-15 08:26:00,13621,United Kingdom
572225,2011-10-21 13:50:00,13157,United Kingdom
568372,2011-09-26 16:54:00,ANONYMOUS,United Kingdom
571131,2011-10-14 10:13:00,ANONYMOUS,United Kingdom
571496,2011-10-17 15:02:00,13265,United Kingdom
570407,2011-10-10 12:52:00,17186,United Kingdom
555817,2011-06-07 11:51:00,17091,United Kingdom
546921,2011-03-18 09:57:00,12471,Germany
560584,2011-07-19 15:38:00,13827,United Kingdom
541574,2011-01-19 12:52:00,12826,United Kingdom
554817,2011-05-26 14:08:00,15622,United Kingdom
552711,2011-05-11 08:32:00,16143,United Kingdom
C568559,2011-09-27 16:37:00,14397,United Kingdom
536971,2010-12-03 13:40:00,12779,Poland
539859,2010-12-22 16:23:00,17905,United Kingdom
573412,2011-10-30 16:11:00,13870,United Kingdom
549446,2011-04-08 13:14:00,17054,United Kingdom
554132,2011-05-23 09:43:00,12360,Austria
578845,2011-11-25 16:53:00,ANONYMOUS,United Kingdom
565126,2011-09-01 12:17:00,17653,United Kingdom
C574288,2011-11-03 15:13:00,ANONYMOUS,United Kingdom
542599,2011-01-30 11:01:00,17062,United Kingdom
543487,2011-02-09 10:25:00,13319,United Kingdom
564743,2011-08-28 15:17:00,14606,United Kingdom
558566,2011-06-30 14:25:00,ANONYMOUS,United Kingdom
C570552,2011-10-11 11:01:00,16029,United Kingdom
574285,2011-11-03 15:01:00,17450,United Kingdom
556189,2011-06-09 11:57:00,15615,United Kingdom
580666,2011-12-05 14:06:00,15856,United Kingdom
574959,2011-11-08 10:09:00,17886,United Kingdom
558742,2011-07-01 15:56:00,ANONYMOUS,United Kingdom
C543624,2011-02-10 15:33:00,12931,United Kingdom
579991,2011-12-01 11:20:00,13159,United Kingdom
547102,2011-03-21 10:41:00,14245,United Kingdom
561901,2011-07-31 15:42:00,14156,EIRE
553546,2011-05-17 15:42:00,12415,Australia
578519,2011-11-24 13:56:00,14591,United Kingdom
560357,2011-07-18 11:42:00,15527,United Kingdom
C557945,2011-06-23 16:11:00,18223,United Kingdom
552811,2011-05-11 12:43:00,17677,United Kingdom
C558254,2011-06-27 17:05:00,16670,United Kingdom
567707,2011-09-22 09:52:00,14676,United Kingdom
572655,2011-10-25 12:20:00,16708,United Kingdom
C537834,2010-12-08 14:54:00,13267,United Kingdom
578794,2011-11-25 12:24:00,17232,United Kingdom
549144,2011-04-06 15:28:00,ANONYMOUS,United Kingdom
547221,2011-03-21 15:06:00,13262,United Kingdom
550461,2011-04-18 13:20:00,15749,United Kingdom
C564908,2011-08-31 12:26:00,17705,United Kingdom
548631,2011-04-01 12:24:00,13184,United Kingdom
550129,2011-04-14 13:17:00,13001,United Kingdom
571030,2011-10-13 12:26:00,12876,Belgium
574150,2011-11-03 11:31:00,13709,United Kingdom
C538686,2010-12-14 09:49:00,ANONYMOUS,United Kingdom
554082,2011-05-22 11:49:00,14878,United Kingdom
C556877,2011-06-15 12:00:00,15498,United Kingdom
545871,2011-03-07 14:51:00,17092,United Kingdom
C543765,2011-02-11 15:16:00,16265,United Kingdom
551571,2011-05-03 11:14:00,ANONYMOUS,United Kingdom
537019,2010-12-03 15:43:00,ANONYMOUS,United Kingdom
549242,2011-04-07 11:41:00,14911,EIRE
574020,2011-11-02 12:15:00,14673,United Kingdom
C574515,2011-11-04 13:38:00,15159,United Kingdom
556280,2011-06-09 20:03:00,14584,United Kingdom
566234,2011-09-11 11:08:00,15035,United Kingdom
572324,2011-10-24 09:52:00,14607,United Kingdom
557303,2011-06-19 14:36:00,12450,Spain
569736,2011-10-06 10:44:00,14317,United Kingdom
548149,2011-03-29 12:36:00,ANONYMOUS,United Kingdom
573405,2011-10-30 15:55:00,13822,United Kingdom
551546,2011-05-03 09:34:00,18062,United Kingdom
537154,2010-12-05 13:05:00,15808,United Kingdom
571558,2011-10-18 09:30:00,17730,United Kingdom
561605,2011-07-28 12:09:00,13925,United Kingdom
561570,2011-07-28 10:24:00,14289,United Kingdom
C556676,2011-06-13 17:18:00,13397,United Kingdom
578248,2011-11-23 12:40:00,16255,United Kingdom
557031,2011-06-16 13:31:00,ANONYMOUS,United Kingdom
578782,2011-11-25 11:55:00,15872,United Kingdom
537676,2010-12-08 09:53:00,12386,Australia
549529,2011-04-08 16:56:00,ANONYMOUS,United Kingdom
574676,2011-11-06 12:32:00,16243,United Kingdom
C547988,2011-03-29 09:19:00,13477,United Kingdom
553051,2011-05-13 10:11:00,15498,United Kingdom
C565001,2011-08-31 16:23:00,17675,United Kingdom
573311,2011-10-28 16:45:00,14071,United Kingdom
566987,2011-09-16 10:56:00,12476,Germany
C545728,2011-03-07 11:41:00,12484,Spain
C538052,2010-12-09 13:28:00,15181,United Kingdom
575721,2011-11-10 18:19:00,ANONYMOUS,United Kingdom
C543763,2011-02-11 15:14:00,13050,United Kingdom
553681,2011-05-18 13:13:00,15410,United Kingdom
573829,2011-11-01 11:35:00,16830,United Kingdom
C572722,2011-10-25 15:08:00,16869,United Kingdom
C543744,2011-02-11 13:43:00,13672,United Kingdom
564750,2011-08-30 09:36:00,17690,United Kingdom
572772,2011-10-26 10:29:00,17511,United Kingdom
565045,2011-08-31 17:03:00,ANONYMOUS,United Kingdom
554083,2011-05-22 11:51:00,18125,United Kingdom
542002,2011-01-25 10:57:00,14298,United Kingdom
564016,2011-08-22 11:44:00,15712,United Kingdom
552269,2011-05-08 11:52:00,16121,United Kingdom
C561328,2011-07-26 13:54:00,12471,Germany
550632,2011-04-19 14:56:00,16907,United Kingdom
569537,2011-10-04 15:45:00,13269,United Kingdom
551982,2011-05-05 13:56:00,15023,United Kingdom
549280,2011-04-07 13:18:00,13854,United Kingdom
574175,2011-11-03 11:47:00,14110,United Kingdom
548702,2011-04-03 11:36:00,17085,United Kingdom
563060,2011-08-11 15:24:00,17653,United Kingdom
569799,2011-10-06 11:47:00,13602,United Kingdom
539688,2010-12-21 11:00:00,12678,France
569868,2011-10-06 14:59:00,13018,United Kingdom
552852,2011-05-11 15:08:00,16712,United Kingdom
565426,2011-09-04 12:41:00,12851,United Kingdom
C539603,2010-12-20 14:05:00,14911,EIRE
C537157,2010-12-05 13:09:00,15880,United Kingdom
559205,2011-07-07 11:10:00,18073,United Kingdom
C564094,2011-08-23 10:30:00,16550,United Kingdom
543592,2011-02-10 11:57:00,17243,United Kingdom
579352,2011-11-29 11:48:00,ANONYMOUS,United Kingdom
572669,2011-10-25 13:10:00,16549,United Kingdom
