"customer_id","recency_score","frequency_score","monetary_score","rfm_segment","rfm_score"
"14653",5,5,4,"554",14
"13269",5,5,5,"555",15
"14569",5,1,1,"511",7
"16688",5,4,4,"544",13
"17243",5,5,5,"555",15
"14719",5,4,4,"544",13
"17644",5,5,5,"555",15
"14251",5,4,5,"545",14
"13077",5,4,3,"543",12
"13394",5,5,5,"555",15
"15796",5,5,5,"555",15
"14520",5,2,2,"522",9
"16891",5,4,3,"543",12
"14702",5,5,5,"555",15
"14138",5,3,4,"534",12
"17144",5,3,4,"534",12
"15187",5,5,5,"555",15
"14056",5,5,5,"555",15
"13436",5,1,1,"511",7
"13404",5,2,2,"522",9
"14911",5,5,5,"555",15
"18210",5,4,5,"545",14
"16210",5,5,5,"555",15
"16358",5,4,4,"544",13
"16523",5,5,5,"555",15
"15399",5,3,3,"533",11
"14415",5,5,5,"555",15
"12358",5,3,4,"534",12
"18223",5,5,5,"555",15
"17924",5,5,5,"555",15
"12437",5,5,5,"555",15
"17554",5,4,4,"544",13
"14796",5,5,5,"555",15
"13102",5,5,5,"555",15
"13883",5,5,5,"555",15
"13298",5,1,2,"512",8
"12955",5,5,5,"555",15
"17436",5,2,1,"521",8
"16161",5,5,5,"555",15
"15950",5,4,4,"544",13
"13510",5,4,4,"544",13
"17856",5,4,4,"544",13
"17830",5,3,2,"532",10
"15237",5,4,4,"544",13
"14442",5,4,4,"544",13
"13521",5,3,4,"534",12
"14191",5,5,5,"555",15
"17841",5,5,5,"555",15
"16401",5,5,5,"555",15
"12476",5,5,5,"555",15
"12462",5,4,4,"544",13
"16191",5,5,5,"555",15
"16393",5,5,5,"555",15
"14739",5,5,5,"555",15
"15750",5,5,5,"555",15
"16817",5,5,4,"554",14
"13743",5,5,4,"554",14
"17870",5,5,4,"554",14
"15298",5,5,5,"555",15
"18272",5,5,5,"555",15
"17017",5,5,5,"555",15
"13767",5,5,5,"555",15
"13685",5,5,5,"555",15
"16271",5,4,4,"544",13
"15195",5,2,5,"525",12
"12471",5,5,5,"555",15
"16426",5,5,4,"554",14
"18273",5,3,1,"531",9
"13267",5,5,5,"555",15
"14085",5,5,5,"555",15
"17511",5,5,5,"555",15
"13870",5,5,5,"555",15
"17232",5,2,2,"522",9
"13668",5,5,5,"555",15
"15969",5,4,3,"543",12
"13534",5,5,5,"555",15
"14141",5,4,3,"543",12
"13756",5,5,5,"555",15
"15525",5,4,3,"543",12
"14087",5,2,1,"521",8
"16525",5,5,5,"555",15
"15568",5,3,3,"533",11
"17735",5,5,5,"555",15
"12615",5,4,5,"545",14
"17503",5,3,3,"533",11
"12747",5,5,5,"555",15
"12828",5,4,4,"544",13
"12785",5,2,2,"522",9
"14527",5,5,5,"555",15
"14534",5,5,5,"555",15
"12583",5,5,5,"555",15
"17449",5,5,5,"555",15
"18219",5,5,5,"555",15
"18092",5,5,5,"555",15
"14910",5,5,2,"552",12
"13109",5,4,3,"543",12
"14794",5,5,4,"554",14
"17434",5,5,5,"555",15
"15136",5,4,4,"544",13
"14904",5,3,4,"534",12
"12935",5,5,5,"555",15
"16539",5,4,4,"544",13
"13014",5,5,5,"555",15
"14708",5,4,4,"544",13
"14769",5,5,5,"555",15
"16368",5,2,2,"522",9
"17091",5,5,5,"555",15
"12375",5,3,2,"532",10
"17590",5,3,4,"534",12
"12839",5,5,5,"555",15
"12720",5,5,5,"555",15
"12826",5,5,4,"554",14
"17602",5,5,5,"555",15
"13769",5,5,5,"555",15
"13949",5,4,5,"545",14
"15883",5,2,2,"522",9
"13089",5,5,5,"555",15
"12569",5,5,5,"555",15
"17042",5,4,4,"544",13
"16779",5,5,5,"555",15
"15471",5,1,2,"512",8
"14189",5,5,5,"555",15
"14132",5,5,5,"555",15
"12912",5,4,4,"544",13
"17049",5,5,5,"555",15
"12347",5,5,5,"555",15
"14032",5,5,5,"555",15
"12950",5,3,4,"534",12
"12783",5,5,5,"555",15
"17266",5,3,2,"532",10
"15701",5,4,4,"544",13
"15984",5,5,5,"555",15
"16458",5,5,5,"555",15
"18237",5,4,4,"544",13
"17835",5,3,2,"532",10
"14204",5,1,1,"511",7
"16678",5,5,5,"555",15
"13882",5,4,4,"544",13
"16000",5,3,5,"535",13
"17097",5,5,4,"554",14
"16672",5,5,5,"555",15
"17412",5,5,4,"554",14
"14395",5,5,5,"555",15
"17238",5,5,5,"555",15
"16971",5,3,2,"532",10
"12362",5,5,5,"555",15
"12877",5,5,4,"554",14
"14825",5,5,5,"555",15
"17883",5,4,3,"543",12
"14110",5,5,5,"555",15
"13694",5,5,5,"555",15
"15061",5,5,5,"555",15
"16013",5,5,5,"555",15
"16143",5,5,5,"555",15
"16929",5,5,4,"554",14
"18167",5,4,4,"544",13
"12921",5,5,5,"555",15
"16133",5,5,5,"555",15
"14298",5,5,5,"555",15
"14121",5,4,5,"545",14
"12478",5,1,3,"513",9
"13199",5,5,5,"555",15
"17666",5,3,3,"533",11
"16949",5,5,4,"554",14
"14735",5,5,5,"555",15
"12682",5,5,5,"555",15
"17728",5,4,5,"545",14
"13362",5,4,5,"545",14
"15822",5,3,3,"533",11
"16313",5,2,2,"522",9
"12716",5,3,4,"534",12
"15157",5,4,4,"544",13
"17290",5,3,3,"533",11
"16554",5,5,4,"554",14
"18005",5,2,1,"521",8
"14655",5,4,4,"544",13
"12709",5,5,5,"555",15
"16201",5,4,4,"544",13
"14113",5,5,5,"555",15
"14673",5,4,4,"544",13
"17857",5,5,5,"555",15
"16711",5,4,4,"544",13
"16620",5,2,1,"521",8
"15814",5,4,4,"544",13
"16571",5,4,4,"544",13
"15992",5,1,1,"511",7
"16353",5,5,5,"555",15
"16979",5,5,4,"554",14
"16790",5,5,4,"554",14
"12971",5,5,5,"555",15
"13225",5,5,5,"555",15
"12766",5,5,5,"555",15
"12749",5,5,5,"555",15
"13881",5,5,5,"555",15
"15194",5,5,5,"555",15
"17481",5,4,4,"544",13
"14562",5,5,5,"555",15
"14543",5,5,5,"555",15
"17744",5,4,5,"545",14
"17861",5,5,5,"555",15
"13104",5,4,4,"544",13
"14868",5,5,5,"555",15
"17914",5,2,2,"522",9
"17611",5,5,5,"555",15
"12989",5,5,5,"555",15
"14503",5,4,5,"545",14
"14547",5,5,5,"555",15
"17119",5,3,3,"533",11
"13255",5,3,2,"532",10
"12479",5,3,3,"533",11
"14737",5,3,4,"534",12
"12584",5,5,5,"555",15
"18154",5,2,2,"522",9
"17593",5,4,5,"545",14
"14071",5,5,4,"554",14
"12650",5,2,2,"522",9
"13323",5,4,3,"543",12
"16764",5,5,5,"555",15
"12723",5,4,3,"543",12
"14572",5,5,5,"555",15
"15318",5,2,2,"522",9
"18225",5,5,5,"555",15
"17884",5,4,3,"543",12
"14216",5,4,4,"544",13
"16016",5,5,4,"554",14
"13755",5,5,5,"555",15
"14418",5,3,4,"534",12
"14907",5,5,5,"555",15
"13709",5,5,5,"555",15
"14869",5,3,3,"533",11
"16495",5,3,3,"533",11
"14578",5,1,1,"511",7
"18283",5,5,4,"554",14
"15622",5,5,5,"555",15
"17346",5,5,5,"555",15
"12967",5,4,5,"545",14
"12442",5,1,1,"511",7
"15907",5,3,3,"533",11
"17730",5,5,5,"555",15
"13507",5,4,5,"545",14
"17705",5,5,4,"554",14
"14282",5,5,5,"555",15
"12753",5,5,5,"555",15
"16076",5,5,5,"555",15
"16569",5,1,1,"511",7
"13914",5,3,3,"533",11
"14140",5,3,3,"533",11
"14293",5,4,4,"544",13
"16987",5,5,4,"554",14
"17250",5,2,2,"522",9
"17659",5,5,5,"555",15
"13994",5,4,5,"545",14
"14871",5,4,3,"543",12
"16528",5,1,1,"511",7
"16015",5,4,3,"543",12
"12417",5,5,5,"555",15
"12820",5,4,3,"543",12
"15023",5,5,5,"555",15
"14608",5,4,4,"544",13
"13985",5,5,5,"555",15
"16597",5,1,1,"511",7
"13126",5,5,5,"555",15
"14096",5,5,5,"555",15
"13083",5,2,2,"522",9
"14696",5,5,4,"554",14
"15640",5,5,5,"555",15
"18198",5,5,5,"555",15
"18030",5,3,1,"531",9
"16642",5,3,3,"533",11
"15854",5,5,5,"555",15
"17920",5,5,5,"555",15
"13305",5,5,4,"554",14
"16873",5,5,5,"555",15
"16904",5,5,5,"555",15
"14194",5,5,5,"555",15
"16149",5,2,2,"522",9
"13021",5,5,5,"555",15
"15053",5,3,3,"533",11
"16684",5,5,5,"555",15
"15856",5,5,5,"555",15
"16968",5,2,2,"522",9
"18015",5,2,1,"521",8
"15031",5,4,3,"543",12
"14629",5,3,4,"534",12
"12381",5,4,4,"544",13
"15290",5,5,5,"555",15
"14198",5,5,3,"553",13
"15097",5,2,2,"522",9
"17817",5,3,2,"532",10
"13079",5,4,1,"541",10
"15392",5,4,4,"544",13
"16851",5,3,2,"532",10
"13790",5,2,2,"522",9
"14060",5,5,5,"555",15
"16746",5,5,5,"555",15
"17383",5,1,1,"511",7
"17090",5,5,4,"554",14
"14649",5,4,4,"544",13
"13311",5,3,3,"533",11
"14777",5,2,1,"521",8
"15690",5,2,1,"521",8
"14083",5,5,4,"554",14
"16360",5,5,5,"555",15
"17404",5,5,5,"555",15
"17706",5,5,5,"555",15
"12841",5,5,5,"555",15
"12683",5,5,5,"555",15
"14759",5,3,4,"534",12
"14793",5,2,1,"521",8
"16910",5,5,4,"554",14
"12957",5,5,5,"555",15
"16592",5,5,5,"555",15
"18044",5,5,5,"555",15
"16600",5,4,3,"543",12
"14401",5,5,5,"555",15
"16682",5,4,4,"544",13
"16200",5,3,4,"534",12
"12628",5,4,3,"543",12
"17579",5,4,2,"542",11
"17402",5,5,5,"555",15
"15033",5,5,5,"555",15
"15932",5,5,5,"555",15
"14075",5,3,3,"533",11
"13230",5,5,5,"555",15
"17006",5,4,3,"543",12
"16513",5,4,3,"543",12
"16379",5,4,5,"545",14
"15358",5,5,5,"555",15
"14219",5,1,1,"511",7
"13173",5,2,2,"522",9
"17811",5,5,5,"555",15
"17426",5,5,5,"555",15
"15628",5,5,5,"555",15
"12646",5,3,4,"534",12
"14931",5,4,4,"544",13
"15550",5,4,3,"543",12
"16500",5,4,2,"542",11
"12994",5,4,4,"544",13
"17676",5,5,4,"554",14
"12913",5,4,5,"545",14
"13417",5,3,3,"533",11
"14546",5,5,5,"555",15
"13001",5,5,5,"555",15
"12782",5,4,5,"545",14
"16811",5,3,3,"533",11
"17254",5,2,2,"522",9
"18180",5,4,4,"544",13
"12925",5,3,3,"533",11
"17218",5,5,4,"554",14
"16057",5,5,5,"555",15
"15572",5,5,5,"555",15
"15145",5,4,4,"544",13
"15274",5,3,3,"533",11
"12367",5,1,1,"511",7
"15621",5,4,4,"544",13
"17750",5,5,4,"554",14
"13808",5,4,4,"544",13
"13956",5,4,4,"544",13
"14583",5,4,4,"544",13
"16905",5,5,5,"555",15
"12719",5,3,3,"533",11
"14456",5,5,5,"555",15
"17173",5,5,5,"555",15
"16033",5,5,5,"555",15
"13435",5,5,5,"555",15
"15773",5,1,3,"513",9
"17827",5,4,4,"544",13
"13153",5,1,2,"512",8
"16988",5,1,1,"511",7
"14658",5,2,2,"522",9
"17858",5,5,5,"555",15
"17131",5,4,5,"545",14
"16438",5,4,3,"543",12
"17114",5,5,3,"553",13
"13558",5,4,3,"543",12
"14720",5,3,3,"533",11
"13838",5,4,3,"543",12
"16561",5,3,3,"533",11
"12490",5,5,5,"555",15
"17954",5,5,5,"555",15
"13704",5,5,5,"555",15
"13319",5,5,5,"555",15
"15867",5,5,5,"555",15
"13736",5,3,3,"533",11
"14102",5,5,4,"554",14
"17936",5,1,2,"512",8
"12560",5,4,5,"545",14
"13596",5,3,3,"533",11
"18065",5,5,5,"555",15
"13822",5,3,3,"533",11
"13630",5,5,4,"554",14
"12673",5,3,3,"533",11
"16326",5,5,5,"555",15
"17618",5,3,3,"533",11
"16283",5,5,4,"554",14
"12827",5,3,2,"532",10
"12724",5,4,4,"544",13
"16535",5,1,3,"513",9
"12952",5,4,4,"544",13
"17629",5,5,4,"554",14
"14354",5,2,1,"521",8
"16931",5,5,5,"555",15
"15547",5,5,5,"555",15
"12704",5,5,5,"555",15
"15570",5,5,5,"555",15
"13953",5,5,5,"555",15
"17183",5,5,5,"555",15
"15078",5,5,5,"555",15
"14292",5,5,5,"555",15
"14594",5,2,2,"522",9
"14897",5,4,4,"544",13
"14688",5,5,5,"555",15
"13458",5,5,5,"555",15
"14865",5,2,1,"521",8
"14493",5,5,5,"555",15
"16333",5,5,5,"555",15
"15769",5,5,5,"555",15
"12962",5,2,2,"522",9
"18245",5,5,5,"555",15
"18174",5,2,1,"521",8
"18055",5,5,5,"555",15
"12856",5,5,5,"555",15
"12762",5,3,4,"534",12
"15123",5,3,5,"535",13
"17686",5,5,5,"555",15
"17157",5,3,2,"532",10
"12970",5,4,2,"542",11
"13780",5,2,2,"522",9
"14031",5,5,5,"555",15
"12465",5,3,3,"533",11
"13183",5,5,5,"555",15
"14023",5,3,3,"533",11
"16038",5,4,2,"542",11
"13297",5,4,5,"545",14
"12695",5,4,3,"543",12
"12536",5,4,5,"545",14
"13705",5,3,3,"533",11
"13017",5,1,1,"511",7
"14126",5,4,3,"543",12
"14788",5,3,3,"533",11
"12668",5,4,5,"545",14
"14895",5,5,5,"555",15
"17386",5,4,5,"545",14
"18097",5,5,5,"555",15
"17086",5,4,4,"544",13
"13309",5,4,4,"544",13
"13560",5,1,1,"511",7
"13868",5,3,5,"535",13
"12587",5,1,1,"511",7
"17567",5,5,5,"555",15
"13352",5,2,2,"522",9
"13495",5,4,5,"545",14
"12700",5,4,5,"545",14
"14250",5,3,4,"534",12
"15539",5,1,3,"513",9
"18282",5,3,1,"531",9
"17584",5,3,4,"534",12
"17495",5,3,3,"533",11
"18144",5,5,5,"555",15
"16899",5,4,4,"544",13
"16989",5,4,4,"544",13
"17221",5,2,2,"522",9
"12684",5,5,5,"555",15
"16440",5,4,5,"545",14
"14428",5,5,4,"554",14
"12364",5,3,4,"534",12
"16759",5,4,3,"543",12
"13884",5,4,3,"543",12
"12359",5,4,5,"545",14
"16474",5,5,4,"554",14
"14092",5,5,5,"555",15
"14560",5,5,5,"555",15
"17942",5,1,1,"511",7
"16103",5,4,4,"544",13
"16359",5,5,4,"554",14
"13969",5,5,5,"555",15
"15271",5,5,5,"555",15
"14329",5,5,5,"555",15
"12919",5,5,4,"554",14
"17576",5,5,5,"555",15
"14950",5,2,2,"522",9
"14626",5,5,5,"555",15
"17540",5,3,3,"533",11
"12951",5,5,4,"554",14
"16242",5,5,5,"555",15
"14367",5,5,5,"555",15
"15172",5,4,4,"544",13
"14178",5,4,4,"544",13
"15687",5,5,5,"555",15
"14853",5,3,2,"532",10
"16376",5,3,4,"534",12
"13410",5,4,4,"544",13
"14960",5,2,1,"521",8
"17293",5,5,4,"554",14
"13159",5,4,4,"544",13
"17566",5,3,3,"533",11
"13115",5,5,5,"555",15
"14188",5,5,5,"555",15
"12664",5,5,5,"555",15
"16938",5,4,5,"545",14
"15197",5,4,4,"544",13
"16813",5,5,4,"554",14
"17381",5,5,5,"555",15
"15745",5,4,4,"544",13
"16789",5,1,1,"511",7
"15904",5,1,1,"511",7
"12963",5,5,4,"554",14
"16156",5,5,5,"555",15
"16240",5,4,5,"545",14
"14243",5,5,5,"555",15
"16169",5,4,4,"544",13
"14804",5,1,2,"512",8
"13171",5,4,3,"543",12
"17636",5,2,2,"522",9
"16011",5,5,5,"555",15
"15373",5,5,5,"555",15
"12901",5,5,5,"555",15
"14309",5,5,5,"555",15
"14287",5,4,1,"541",10
"15862",5,4,3,"543",12
"16700",5,5,5,"555",15
"16119",5,2,2,"522",9
"12572",5,3,4,"534",12
"15144",5,5,5,"555",15
"14525",5,5,5,"555",15
"14732",5,5,5,"555",15
"15021",5,5,4,"554",14
"14388",5,5,5,"555",15
"14289",5,4,3,"543",12
"16839",5,5,5,"555",15
"17071",5,5,5,"555",15
"14047",5,5,4,"554",14
"12562",5,5,5,"555",15
"13644",5,4,5,"545",14
"17828",5,5,4,"554",14
"13040",5,3,3,"533",11
"15993",5,5,5,"555",15
"12553",5,5,5,"555",15
"16966",5,5,5,"555",15
"14766",5,5,5,"555",15
"14860",5,2,1,"521",8
"15500",5,4,4,"544",13
"16293",5,5,5,"555",15
"15101",5,3,2,"532",10
"17321",5,3,3,"533",11
"14146",5,4,5,"545",14
"17768",5,3,4,"534",12
"14389",5,4,4,"544",13
"13509",5,5,4,"554",14
"15563",5,5,4,"554",14
"17063",5,5,4,"554",14
"15948",5,3,4,"534",12
"15380",5,4,4,"544",13
"14262",5,5,5,"555",15
"17014",5,4,3,"543",12
"15602",5,5,4,"554",14
"14440",5,4,5,"545",14
"14659",5,5,5,"555",15
"15531",5,3,4,"534",12
"13854",5,5,5,"555",15
"18122",5,4,4,"544",13
"16570",5,5,5,"555",15
"16701",5,5,5,"555",15
"17450",5,5,5,"555",15
"17115",5,4,3,"543",12
"17937",5,5,5,"555",15
"13971",5,5,5,"555",15
"18130",5,4,4,"544",13
"15544",5,5,5,"555",15
"14299",5,5,5,"555",15
"15434",5,4,4,"544",13
"13853",5,3,4,"534",12
"18077",5,5,5,"555",15
"13310",5,4,4,"544",13
"15028",5,4,3,"543",12
"15060",5,4,2,"542",11
"16145",5,5,5,"555",15
"17350",5,4,4,"544",13
"13365",5,3,5,"535",13
"16496",5,4,4,"544",13
"17044",5,3,4,"534",12
"13090",5,5,5,"555",15
"15654",5,3,3,"533",11
"14156",5,5,5,"555",15
"18179",5,4,4,"544",13
"15039",5,5,5,"555",15
"17911",5,1,2,"512",8
"12714",5,4,5,"545",14
"15676",5,4,5,"545",14
"14005",5,4,5,"545",14
"13050",5,5,5,"555",15
"13647",5,4,4,"544",13
"14875",5,4,4,"544",13
"14963",5,4,4,"544",13
"15712",5,4,4,"544",13
"18241",5,5,4,"554",14
"12966",5,1,1,"511",7
"15152",5,5,5,"555",15
"17340",5,5,5,"555",15
"15046",5,5,5,"555",15
"18058",5,1,1,"511",7
"17502",5,4,3,"543",12
"16062",5,4,4,"544",13
"14733",5,5,5,"555",15
"15394",5,4,5,"545",14
"15251",5,5,5,"555",15
"15782",5,4,5,"545",14
"15611",5,5,4,"554",14
"15113",5,4,5,"545",14
"12429",5,4,5,"545",14
"15793",5,4,4,"544",13
"18059",5,4,2,"542",11
"15467",5,4,3,"543",12
"16361",5,4,3,"543",12
"16241",5,5,5,"555",15
"14644",5,4,3,"543",12
"16657",5,4,3,"543",12
"13203",5,4,3,"543",12
"12494",5,5,4,"554",14
"14618",5,4,3,"543",12
"14062",5,5,5,"555",15
"13212",5,4,3,"543",12
"14713",5,5,5,"555",15
"14755",5,5,5,"555",15
"14432",5,4,5,"545",14
"17736",5,4,2,"542",11
"15073",5,4,4,"544",13
"16712",5,5,5,"555",15
"13012",5,5,4,"554",14
"16915",5,4,3,"543",12
"16295",5,4,4,"544",13
"16265",5,5,5,"555",15
"13784",5,5,5,"555",15
"14385",5,3,1,"531",9
"18230",5,5,5,"555",15
"12787",5,3,2,"532",10
"12488",5,3,4,"534",12
"18158",5,3,2,"532",10
"15024",5,5,4,"554",14
"14258",5,5,5,"555",15
"14936",5,5,5,"555",15
"16717",5,5,5,"555",15
"12953",5,2,2,"522",9
"12598",5,5,5,"555",15
"15414",5,3,3,"533",11
"12528",5,5,4,"554",14
"16101",5,3,4,"534",12
"15680",5,3,4,"534",12
"17096",5,5,4,"554",14
"17737",5,2,1,"521",8
"14540",5,3,3,"533",11
"12882",5,3,4,"534",12
"15444",5,3,4,"534",12
"15903",5,5,5,"555",15
"12630",5,3,4,"534",12
"14893",5,3,4,"534",12
"13658",5,5,5,"555",15
"17727",5,3,4,"534",12
"12524",5,5,5,"555",15
"17288",5,5,4,"554",14
"16115",5,5,4,"554",14
"16956",5,2,2,"522",9
"14448",5,2,2,"522",9
"12784",5,3,3,"533",11
"14173",5,4,2,"542",11
"14550",5,3,3,"533",11
"12464",5,5,4,"554",14
"15615",5,5,5,"555",15
"14419",5,4,4,"544",13
"14667",5,5,5,"555",15
"13428",5,1,1,"511",7
"13068",5,2,2,"522",9
"17682",5,5,5,"555",15
"15790",5,1,1,"511",7
"16479",5,2,2,"522",9
"17772",5,2,1,"521",8
"14088",5,5,5,"555",15
"14711",5,5,5,"555",15
"12670",5,4,5,"545",14
"17655",5,5,5,"555",15
"14321",5,4,4,"544",13
"12627",5,5,5,"555",15
"16852",5,2,1,"521",8
"17468",5,2,1,"521",8
"13928",5,4,2,"542",11
"12798",5,3,5,"535",13
"16992",5,4,4,"544",13
"14209",5,5,4,"554",14
"14701",5,5,5,"555",15
"14785",5,2,1,"521",8
"15206",5,4,2,"542",11
"13198",5,5,5,"555",15
"14836",5,3,1,"531",9
"17306",5,5,5,"555",15
"13576",5,5,5,"555",15
"15619",5,2,2,"522",9
"15239",5,3,3,"533",11
"16782",5,5,5,"555",15
"14125",5,3,5,"535",13
"13211",5,3,4,"534",12
"14205",5,4,3,"543",12
"18161",5,4,4,"544",13
"13137",5,5,5,"555",15
"13147",5,4,3,"543",12
"12727",5,5,5,"555",15
"13496",5,3,3,"533",11
"13657",5,2,2,"522",9
"13429",5,4,4,"544",13
"17711",5,2,2,"522",9
"14866",5,5,5,"555",15
"15218",5,5,5,"555",15
"15783",5,2,2,"522",9
"13349",5,2,2,"522",9
"15148",5,2,2,"522",9
"15089",5,4,5,"545",14
"14390",5,5,5,"555",15
"17658",5,3,3,"533",11
"14723",5,4,4,"544",13
"14961",5,5,5,"555",15
"16549",5,5,5,"555",15
"14554",5,4,5,"545",14
"16775",5,5,4,"554",14
"14824",5,4,4,"544",13
"12451",5,4,5,"545",14
"17101",5,4,4,"544",13
"13999",5,5,5,"555",15
"14601",5,1,1,"511",7
"16818",5,5,5,"555",15
"15297",5,4,3,"543",12
"14180",5,5,5,"555",15
"14408",5,5,5,"555",15
"14349",5,1,1,"511",7
"18118",5,5,5,"555",15
"14235",5,4,5,"545",14
"14452",5,2,2,"522",9
"17466",5,3,3,"533",11
"13467",5,3,4,"534",12
"16168",5,5,5,"555",15
"12654",5,4,3,"543",12
"15022",5,4,3,"543",12
"16347",5,3,3,"533",11
"13258",5,3,3,"533",11
"16094",5,4,4,"544",13
"14511",5,4,4,"544",13
"17419",5,5,5,"555",15
"12660",5,1,1,"511",7
"14290",5,4,5,"545",14
"15838",5,5,5,"555",15
"18096",5,3,3,"533",11
"13196",5,4,4,"544",13
"14597",5,3,3,"533",11
"17379",5,1,2,"512",8
"16800",5,2,4,"524",11
"18229",5,5,5,"555",15
"12906",5,4,5,"545",14
"17237",5,2,2,"522",9
"15714",5,2,2,"522",9
"13590",5,5,4,"554",14
"14480",5,2,2,"522",9
"13389",5,3,3,"533",11
"12657",5,4,5,"545",14
"13758",5,5,5,"555",15
"17806",5,1,3,"513",9
"14470",5,2,2,"522",9
"15540",5,1,1,"511",7
"17188",5,5,5,"555",15
"15721",5,1,2,"512",8
"17019",5,4,4,"544",13
"18101",5,2,1,"521",8
"16744",5,5,4,"554",14
"15601",5,5,5,"555",15
"14741",4,4,4,"444",12
"14901",4,5,4,"454",13
"13030",4,3,3,"433",10
"13844",4,1,2,"412",7
"16364",4,3,3,"433",10
"16900",4,4,4,"444",12
"12427",4,4,3,"443",11
"17299",4,4,3,"443",11
"14215",4,5,4,"454",13
"12674",4,5,4,"454",13
"13266",4,5,5,"455",14
"17651",4,5,5,"455",14
"15511",4,4,3,"443",11
"13418",4,5,5,"455",14
"17359",4,1,1,"411",6
"17523",4,4,3,"443",11
"17031",4,2,2,"422",8
"13188",4,2,1,"421",7
"15561",4,4,3,"443",11
"17929",4,4,3,"443",11
"14704",4,5,4,"454",13
"17852",4,2,1,"421",7
"15571",4,4,3,"443",11
"13950",4,4,3,"443",11
"13238",4,4,3,"443",11
"18041",4,5,5,"455",14
"17739",4,5,5,"455",14
"17988",4,5,1,"451",10
"13004",4,5,5,"455",14
"13571",4,5,5,"455",14
"18156",4,3,3,"433",10
"17365",4,5,5,"455",14
"13782",4,4,3,"443",11
"17411",4,4,3,"443",11
"16005",4,4,3,"443",11
"17236",4,4,3,"443",11
"16877",4,4,3,"443",11
"16024",4,2,2,"422",8
"17812",4,4,3,"443",11
"15747",4,3,3,"433",10
"18145",4,4,5,"445",13
"17231",4,5,5,"455",14
"13064",4,4,4,"444",12
"14577",4,4,3,"443",11
"16942",4,5,4,"454",13
"17864",4,3,3,"433",10
"14954",4,2,2,"422",8
"16407",4,5,4,"454",13
"18001",4,2,2,"422",8
"15009",4,3,4,"434",11
"17595",4,2,2,"422",8
"15351",4,5,4,"454",13
"17885",4,1,1,"411",6
